setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,total,positiu
30,2022,25/07/2022,31/07/2022,67,Catalunya Central,67,Catalunya Central,Dona,60 a 64,4,1,1
37,2022,12/09/2022,18/09/2022,61,Lleida,61,Lleida,Home,65 a 69,2,1,1
15,2023,10/04/2023,16/04/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,70 a 74,4,1,0
38,2023,18/09/2023,24/09/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,30 a 34,4,1,0
19,2023,08/05/2023,14/05/2023,64,Girona,64,Girona,Home,70 a 74,3,1,1
22,2023,29/05/2023,04/06/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,80 o més,4,1,0
25,2022,20/06/2022,26/06/2022,62,Camp de Tarragona,62,Camp de Tarragona,Home,25 a 29,2,1,0
17,2023,24/04/2023,30/04/2023,61,Lleida,61,Lleida,Home,75 a 79,4,1,0
25,2022,20/06/2022,26/06/2022,63,Terres de l'Ebre,63,Terres de l'Ebre,Dona,50 a 54,3,2,0
5,2023,30/01/2023,05/02/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,50 a 54,1,2,2
38,2022,19/09/2022,25/09/2022,61,Lleida,61,Lleida,Home,35 a 39,4,1,1
43,2023,23/10/2023,29/10/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,60 a 64,4,1,1
27,2023,03/07/2023,09/07/2023,70,Penedès,70,Penedès,Home,10 a 14,-1,1,1
32,2022,08/08/2022,14/08/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,5 a 9,4,1,0
40,2023,02/10/2023,08/10/2023,61,Lleida,61,Lleida,Dona,30 a 34,4,2,2
29,2022,18/07/2022,24/07/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,60 a 64,4,1,1
42,2022,17/10/2022,23/10/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,80 o més,2,1,0
47,2022,21/11/2022,27/11/2022,61,Lleida,61,Lleida,Home,5 a 9,4,3,3
13,2023,27/03/2023,02/04/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,75 a 79,3,3,2
46,2022,14/11/2022,20/11/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,65 a 69,3,1,1
44,2023,30/10/2023,05/11/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,0,4,2,1
47,2022,21/11/2022,27/11/2022,70,Penedès,70,Penedès,Dona,55 a 59,4,2,2
25,2022,20/06/2022,26/06/2022,62,Camp de Tarragona,62,Camp de Tarragona,Dona,3 i 4,4,1,1
49,2022,05/12/2022,11/12/2022,62,Camp de Tarragona,62,Camp de Tarragona,Dona,55 a 59,3,2,2
34,2022,22/08/2022,28/08/2022,64,Girona,64,Girona,Dona,45 a 49,3,1,0
12,2023,20/03/2023,26/03/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,0,3,1,1
35,2023,28/08/2023,03/09/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,20 a 24,4,1,1
33,2023,14/08/2023,20/08/2023,70,Penedès,70,Penedès,Dona,10 a 14,3,2,0
6,2023,06/02/2023,12/02/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,20 a 24,4,1,1
3,2023,16/01/2023,22/01/2023,70,Penedès,70,Penedès,Home,65 a 69,4,1,0
36,2023,04/09/2023,10/09/2023,70,Penedès,70,Penedès,Home,50 a 54,4,1,1
29,2022,18/07/2022,24/07/2022,67,Catalunya Central,67,Catalunya Central,Home,80 o més,4,1,1
28,2022,11/07/2022,17/07/2022,61,Lleida,61,Lleida,Home,5 a 9,4,1,1
52,2022,26/12/2022,01/01/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,60 a 64,4,1,0
7,2023,13/02/2023,19/02/2023,67,Catalunya Central,67,Catalunya Central,Home,20 a 24,4,1,1
39,2022,26/09/2022,02/10/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,65 a 69,2,1,1
1,2023,02/01/2023,08/01/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,75 a 79,3,4,3
36,2022,05/09/2022,11/09/2022,61,Lleida,61,Lleida,Dona,3 i 4,4,1,1
38,2022,19/09/2022,25/09/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,1 i 2,4,1,1
26,2022,27/06/2022,03/07/2022,61,Lleida,61,Lleida,Home,0,4,1,1
31,2022,01/08/2022,07/08/2022,62,Camp de Tarragona,62,Camp de Tarragona,Home,65 a 69,4,1,1
38,2023,18/09/2023,24/09/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,80 o més,2,1,0
7,2023,13/02/2023,19/02/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,25 a 29,3,1,1
3,2023,16/01/2023,22/01/2023,70,Penedès,70,Penedès,Dona,80 o més,4,1,1
19,2023,08/05/2023,14/05/2023,61,Lleida,61,Lleida,Dona,45 a 49,4,2,2
46,2022,14/11/2022,20/11/2022,67,Catalunya Central,67,Catalunya Central,Dona,65 a 69,4,1,1
21,2023,22/05/2023,28/05/2023,70,Penedès,70,Penedès,Dona,35 a 39,4,2,1
6,2023,06/02/2023,12/02/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,15 a 19,3,1,0
6,2023,06/02/2023,12/02/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,5 a 9,3,1,1
27,2022,04/07/2022,10/07/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,15 a 19,3,1,0
6,2023,06/02/2023,12/02/2023,70,Penedès,70,Penedès,Home,80 o més,4,1,0
49,2022,05/12/2022,11/12/2022,64,Girona,64,Girona,Dona,60 a 64,3,2,1
5,2023,30/01/2023,05/02/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,45 a 49,3,1,1
45,2022,07/11/2022,13/11/2022,62,Camp de Tarragona,62,Camp de Tarragona,Home,35 a 39,3,1,1
4,2023,23/01/2023,29/01/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,20 a 24,3,3,0
7,2023,13/02/2023,19/02/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,60 a 64,4,1,1
52,2022,26/12/2022,01/01/2023,64,Girona,64,Girona,Dona,60 a 64,3,1,0
20,2024,13/05/2024,19/05/2024,62,Camp de Tarragona,62,Camp de Tarragona,Dona,35 a 39,4,2,2
4,2023,23/01/2023,29/01/2023,64,Girona,64,Girona,Dona,65 a 69,3,1,1
42,2022,17/10/2022,23/10/2022,70,Penedès,70,Penedès,Dona,15 a 19,4,1,1
36,2023,04/09/2023,10/09/2023,64,Girona,64,Girona,Home,1 i 2,3,1,0
35,2023,28/08/2023,03/09/2023,61,Lleida,61,Lleida,Dona,25 a 29,4,1,0
40,2022,03/10/2022,09/10/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,80 o més,4,2,1
40,2022,03/10/2022,09/10/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,25 a 29,3,1,1
30,2023,24/07/2023,30/07/2023,70,Penedès,70,Penedès,Home,3 i 4,-1,1,1
46,2022,14/11/2022,20/11/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,25 a 29,3,1,1
16,2023,17/04/2023,23/04/2023,61,Lleida,61,Lleida,Home,20 a 24,4,2,2
27,2023,03/07/2023,09/07/2023,61,Lleida,61,Lleida,Dona,25 a 29,4,2,1
43,2022,24/10/2022,30/10/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,25 a 29,3,1,1
12,2023,20/03/2023,26/03/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,40 a 44,1,2,1
37,2023,11/09/2023,17/09/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,30 a 34,1,1,0
32,2022,08/08/2022,14/08/2022,71,Alt Pirineu i Aran,71,Alt Pirineu i Aran,Dona,15 a 19,3,2,1
15,2023,10/04/2023,16/04/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,40 a 44,3,2,1
37,2022,12/09/2022,18/09/2022,64,Girona,64,Girona,Dona,10 a 14,3,1,0
18,2023,01/05/2023,07/05/2023,61,Lleida,61,Lleida,Dona,40 a 44,4,1,1
5,2023,30/01/2023,05/02/2023,63,Terres de l'Ebre,63,Terres de l'Ebre,Home,40 a 44,3,1,1
4,2023,23/01/2023,29/01/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,30 a 34,4,1,0
17,2023,24/04/2023,30/04/2023,61,Lleida,61,Lleida,Home,25 a 29,4,1,0
40,2022,03/10/2022,09/10/2022,61,Lleida,61,Lleida,Dona,30 a 34,4,1,1
20,2022,16/05/2022,22/05/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,55 a 59,4,4,4
6,2023,06/02/2023,12/02/2023,70,Penedès,70,Penedès,Home,60 a 64,3,1,1
13,2024,25/03/2024,31/03/2024,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,55 a 59,2,1,0
40,2023,02/10/2023,08/10/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,40 a 44,4,1,1
17,2023,24/04/2023,30/04/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,80 o més,3,3,1
11,2023,13/03/2023,19/03/2023,67,Catalunya Central,67,Catalunya Central,Dona,1 i 2,4,1,1
3,2023,16/01/2023,22/01/2023,61,Lleida,61,Lleida,Home,5 a 9,4,1,1
42,2023,16/10/2023,22/10/2023,61,Lleida,61,Lleida,Dona,50 a 54,2,1,0
16,2023,17/04/2023,23/04/2023,64,Girona,64,Girona,Dona,5 a 9,3,3,2
10,2023,06/03/2023,12/03/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,35 a 39,3,2,2
29,2023,17/07/2023,23/07/2023,67,Catalunya Central,67,Catalunya Central,Dona,3 i 4,4,1,1
10,2023,06/03/2023,12/03/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,40 a 44,4,1,1
